views,likes,comments,watch_duration,shares,title_length,description_length,edge_intensity,color_histogram,spectral_entropy,audio_intensity,engagement_score
47,11,4,74.34018105432172,0,18,878,0.4366610862410978,0.6768798324687785,0.5241335998215126,0.22440207891743813,1
55,14,2,86.54761709226932,1,89,46,0.26932836519930986,0.3769307837300981,0.5193034175908265,0.04486131254451542,1
42,8,1,54.70700626293642,0,97,568,0.13693753965086763,0.8100704120201151,0.6362090159294305,0.36931309191930317,1
52,11,3,79.21367047341478,1,73,430,0.3768978323707949,0.8735945777066918,0.42884868426802125,0.22034554356683755,1
58,5,3,48.21189815300566,0,62,339,0.38068212485632735,0.3572688322245552,0.5805125295165217,0.35078734081214624,0
43,6,3,73.78736081865566,0,86,181,0.08076064163259017,0.4077165283560673,0.46107442067517634,0.24636026539316636,1
46,10,3,86.01448036501769,0,74,987,0.32327939597483907,0.8317416198688012,0.5237039842054824,0.4304751277802972,1
49,10,3,52.910215804642135,1,89,245,0.30449676849884366,0.48453555646593566,0.406530993027848,0.46890545949528617,1
52,8,0,82.42831033367544,0,60,552,0.1695598211366557,0.9735340384359129,0.4719790702724653,0.590001300739107,0
45,7,0,73.37277225016871,0,57,979,0.3940366553833313,0.8939958946324726,0.6121141567366752,0.8810185520923925,0
49,9,6,63.18501907839091,1,73,950,0.23551180881943118,0.8644109076871507,0.4313674386422073,0.834711454316634,1
43,10,1,51.992881801871455,1,77,36,0.24114315095863537,0.7836287078810884,0.38175624795425683,0.26523631591444885,1
52,11,2,73.62708490355739,0,64,524,0.376161157099203,0.460509756910714,0.4649304468620779,0.4580549434626324,1
52,6,3,77.40760232576248,0,36,618,0.17255472379625206,0.5219119896705531,0.5445526188662031,0.49043660604708395,0
46,11,2,65.2385039110289,1,51,987,0.4343943479275304,0.7459946086012921,0.6954957734184943,0.3216090874939166,1
54,9,2,55.2849855503755,0,93,355,0.2691234526643338,0.8624118132651771,0.39764281378698985,0.11635664747310115,0
40,9,0,81.43695782732318,0,26,946,0.09699146386517599,0.4989199053838711,0.35787621581438017,0.05552259572979823,1
45,6,0,87.76820653964216,0,8,447,0.27837848889303657,0.7981618703660762,0.6424297735818227,0.020371401395040678,0
46,18,3,84.30473168247333,0,29,31,0.4647687815149189,0.9483103095912613,0.5362209426451308,0.08913126315848574,1
51,6,1,93.83599431367807,2,65,241,0.5658545534375999,0.9150602650345347,0.5733452828565667,0.35675069493620093,0
64,15,3,60.22670308425956,1,16,555,0.40421208759572874,0.8628084752945254,0.5283247415993028,0.5141646408627908,1
52,11,3,48.77200665958615,1,35,902,0.14880726634513353,0.6795268120163276,0.45165471149626757,0.08805745921402763,1
38,4,4,76.15911200454869,0,5,381,0.24489819220012615,0.8663313751712648,0.5745803159859091,0.2884718047624084,1
33,3,3,63.95561896763381,2,90,799,0.09455636731020646,0.7425142589464783,0.421498949991447,0.9464500122509721,1
48,9,4,84.81471711491533,0,91,895,0.11539841709947274,0.6304138683886419,0.492675969142231,0.3073092721115699,1
58,14,2,54.445326719673865,0,88,41,0.1420734950740065,0.7508293798034522,0.505565138530346,0.5587694794237746,1
45,5,5,55.542371843495744,1,65,228,0.31130760600317037,0.8044860796347766,0.4676902543444297,0.5976554227820177,1
41,10,3,71.02096327181704,0,10,471,0.20915650614443265,0.7346150929367791,0.5364206482708848,0.9609016302321753,1
56,12,5,72.62490272996614,0,26,500,0.35615858652599847,0.696303170640065,0.45545523969460355,0.0035327525695437734,1
54,9,1,80.12211189693615,0,16,620,0.604832737247562,0.9328124575096205,0.42735124140173647,0.6010981302930144,0
56,7,0,68.52455417392851,3,27,587,0.46315262101176563,0.6333358706901633,0.7067357970681891,0.15196211852118247,0
47,13,2,41.242768687837284,1,39,418,0.1733449019937419,0.8389025433778239,0.7045162068172631,0.21672790281270915,1
59,10,4,100.0,0,18,380,0.16140448144850067,0.8774271270546907,0.27287608923186973,0.8102547560374913,1
46,6,2,70.50285510849653,0,80,358,0.2572461860601904,0.26534863678764314,0.6402621954171167,0.42352992340962536,0
46,10,4,100.0,0,34,867,0.2686878243986666,0.4423885642660593,0.41629778966933995,0.4290621611832097,1
55,9,2,68.11082118161337,1,26,689,0.20726396960924098,0.7474209168823405,0.7966735396967433,0.5461875921179963,1
60,12,0,54.20731953177993,0,20,348,0.24888698589478428,0.7880060604133965,0.5493892315672668,0.9980767752495503,0
40,4,3,65.24005326767411,2,90,745,0.2636683624273484,0.8234982039509565,0.4854344206694606,0.8556637705055952,1
56,19,3,86.50761905877408,0,97,436,0.2838949914306669,0.8453832046057604,0.37605022956333356,0.7141612432489058,1
56,11,2,79.28889126772098,0,75,502,0.24195724486268486,0.9082847073101541,0.4102099434025964,0.20236744898787185,1
50,20,4,74.61416682662205,0,19,67,0.11604419143099827,0.7762902163684308,0.5710992275423818,0.7983196497269125,1
46,8,4,69.08018507129962,1,6,475,0.8390169069679223,0.8082294004211303,0.5139293568970715,0.6569162129713909,1
61,11,2,71.94012890309047,1,26,127,0.32905279884989064,0.6756185309998689,0.3267655125154513,0.4843089563819284,1
48,13,4,67.76555277900117,0,67,908,0.2473500256509357,0.8019905136856698,0.3867857566304001,0.004914648497504448,1
44,8,1,87.95248921577534,0,19,954,0.6046372337930636,0.8333726188046647,0.4799422764735294,0.9906744255569884,0
45,8,3,83.73931734343073,0,23,633,0.18704089107744995,0.7414099981464933,0.750311647527088,0.8250447217996569,1
63,8,2,55.86426806969219,0,95,444,0.22461060151840398,0.8378852412849747,0.44843234282427746,0.928113500453403,0
53,16,2,47.838795099605065,0,91,833,0.35898768800229436,0.7188714369919436,0.40593601229139975,0.6385538430526257,1
57,7,2,51.60870086607579,2,98,547,0.38229069969527624,0.5168636243162235,0.4559660968767439,0.5893702186918169,0
60,14,2,64.65587153537,1,93,972,0.08498508161797319,0.9166943222692344,0.7072269790479497,0.9894241006221116,1
46,9,1,73.31723245241483,0,25,326,0.37429156458289004,0.7172765250708799,0.7682266342973625,0.21900162473873752,1
44,5,2,69.17686272286927,0,31,761,0.13677378642704677,0.7294073062482649,0.41270231314694716,0.9193318366207013,0
48,2,2,79.45256147100037,2,23,154,0.2019211279633475,0.6998124320835242,0.49216176535602935,0.6535051723612004,0
40,12,1,69.78202418959083,0,30,866,0.02922324865736829,0.8460334198086117,0.3178699164460227,0.8516735682170907,1
65,15,2,93.93561996855435,0,53,706,0.476378874501879,0.8467584968154854,0.519046363338834,0.8096097293504605,1
50,11,0,77.63193445832405,0,62,396,0.11647700537229551,0.9207041664380364,0.5115354713547455,0.9917815430748298,1
69,13,1,70.26937803958536,0,71,440,0.1873158551486823,0.9431871879007784,0.5395123296321428,0.5536644007103766,0
50,8,2,47.33791980489433,0,29,748,0.3741372708616876,0.9129638070709716,0.5586600259844525,0.7998947761403925,0
45,10,1,75.25436567554779,0,81,194,0.1090919562949183,0.6306513392586492,0.47622713977291314,0.027359199698741676,1
52,11,5,77.48713300556159,0,82,732,0.044682825444774345,0.6599049293596386,0.3407062497605049,0.3076726309912987,1
34,8,1,59.29534488419359,1,78,943,0.29405424303157995,0.7133352783435989,0.4894717739874348,0.8653184055390318,1
61,11,1,52.656533187145236,3,92,735,0.25995876369641246,0.8490310323764316,0.35664699012424383,0.050642625110553174,1
41,14,2,86.42095033973457,0,26,959,0.4132810691464198,0.7177846717744754,0.2407180464774213,0.48867755934354673,1
54,7,1,55.47156411609277,1,18,957,0.08562806790378213,0.5384126182907433,0.5409337743747744,0.48475413051407845,0
44,5,0,72.4835212385088,1,13,401,0.14207532350918659,0.19045887156117555,0.4596243214828811,0.5458721450419841,0
47,13,3,70.4488637778144,0,80,66,0.31378509777992486,0.5987682523257075,0.4418617227862299,0.04153296560416053,1
53,12,3,76.69861295914839,0,26,739,0.38250716368271304,0.5970905543393865,0.5214296010691443,0.9636438694606029,1
39,7,0,55.581409374851376,1,86,871,0.34432113905177103,0.7288133352150726,0.4838331719532232,0.5252764177411166,0
46,11,2,68.1920034425516,1,99,575,0.11047155626362812,0.6091661387410122,0.4022271733802746,0.91026877093721,1
54,10,0,55.488490941928255,1,80,495,0.2994174838506062,0.7004529210593304,0.4820584242234661,0.831532527333452,0
50,5,2,71.11185343730541,0,19,151,0.32964508749093946,0.8713710353718609,0.4556245746435191,0.27270571035849445,0
53,12,2,77.56106699924577,0,44,383,0.8112396225596604,0.22233236747560642,0.5388800116174148,0.8034774417267861,1
54,9,4,83.43122293115005,1,69,655,0.6295134466167788,0.88836903410965,0.4337469411327567,0.7094163097833958,1
64,9,4,92.42210189334341,0,57,741,0.2947074136266571,0.6952567353898867,0.4550203756472559,0.9610560429560294,0
47,7,4,66.04633082462041,1,35,164,0.2323306456916608,0.9227680178412746,0.4359178411490276,0.6641633649821913,1
45,9,1,65.78126284109013,0,14,373,0.07561901464833518,0.4841460749782426,0.31887767013314117,0.9878992603181251,1
57,7,3,89.08953792616404,0,38,29,0.21956409894339857,0.7131741525898401,0.5714214305223395,0.05855575034105531,0
51,14,0,78.62653509954382,0,41,433,0.213138736751061,0.7675195810698201,0.4642220571965099,0.783436246520854,1
39,8,3,88.55667753229758,1,17,624,0.14927476718524033,0.7496790520117983,0.5366652468847847,0.8906156430624179,1
61,10,2,99.28777140844142,0,42,992,0.3871750563679411,0.8764038031349494,0.5057028091869481,0.5122692946673663,0
47,11,0,57.34580337990042,2,49,198,0.37680708027096615,0.6306779217233403,0.4903935574486629,0.6496790846531277,1
60,15,2,82.13945783434647,0,14,732,0.08430938778999983,0.8210436304783609,0.5488178506621544,0.9009596638454901,1
53,11,2,61.011880499163695,1,26,135,0.4783446540238924,0.9823826557144789,0.4771358726958207,0.5873074042068451,1
52,8,4,93.4520579824889,1,65,601,0.42769522885230327,0.9818703627171449,0.46282813498049713,0.4477647604919892,1
39,5,0,52.183423620262054,1,42,679,0.13189226197468662,0.9819460529471754,0.7144034419944987,0.021827200105127287,0
51,13,3,83.7647847294336,1,62,298,0.4874186422724016,0.5309848461484962,0.3798889808337204,0.5077286232513526,1
53,8,4,61.695794669142785,0,30,334,0.43923295566062454,0.3744242413168815,0.4411217430523866,0.4840943026433472,1
55,5,4,78.31635692315326,0,79,87,0.3999574958195473,0.9316993058674082,0.5533032795397685,0.9494118595741138,0
46,10,5,89.02172290343404,0,53,158,0.2270230801367207,0.6942830158948988,0.5665733260388021,0.42395436131915276,1
53,8,0,60.33998264098999,0,78,756,0.40207118390705776,0.7965156830708275,0.5228971102384631,0.6000185958075476,0
53,18,2,47.97466884188432,0,99,359,0.4664642662568829,0.8239338230976829,0.5941558821512494,0.444875287893028,1
39,11,1,66.11522331634258,0,89,747,0.29240867921013597,0.7120149838497112,0.4998010426805143,0.061898003507578125,1
45,10,0,64.18878067157199,0,93,643,0.38709125462475863,0.7680220885540846,0.3654810681697104,0.48185272636001164,1
60,15,4,50.733076506183494,1,66,213,0.2309133636270253,0.8806312983278475,0.5026947164536306,0.9556300210764888,1
57,11,4,39.857576684678335,1,13,862,0.4317934824137728,0.7356577823095576,0.5506902722846102,0.2823730645742556,1
52,13,3,88.24992645545547,1,64,507,0.06861455915276914,0.7560150571556266,0.46310166393189994,0.6620444294866449,1
43,9,2,92.37424539983525,0,86,39,0.46241228557316094,0.4288721748117005,0.4263659120605612,0.4613535892503692,1
45,4,4,60.97157506837474,0,34,820,0.4867656139903463,0.6722044593157438,0.5421520672208817,0.3304531704149143,0
53,15,2,65.6108228384168,0,25,789,0.1349077794117111,0.7127093150485161,0.2728509119985987,0.6678482790077676,1
62,16,2,82.11661290303547,1,54,186,0.5768767808859586,0.7955248163158041,0.6398375920342988,0.09003546518457062,1
48,14,5,82.35245977530035,0,33,486,0.298082904498986,0.8152564779610412,0.42674670769880474,0.5711318533527207,1
45,11,0,96.68682036060902,0,44,32,0.5321398542029094,0.6033306583890493,0.4881110314155742,0.3571831659401298,1
58,11,4,79.32427968800725,0,21,800,0.09457227922919882,0.7801024102984355,0.36378952577404233,0.07450751494285046,1
42,6,3,54.61960954051551,1,72,531,0.4725273579366456,0.8865591846150201,0.5169895403344872,0.8265974831160273,1
64,10,6,81.8661543282337,1,68,280,0.19119319304438576,0.7438838024967742,0.5510270528202941,0.7695260758073094,1
51,7,1,59.53284691334806,0,27,693,0.3500484129038907,0.46094737842651257,0.5555692713492846,0.7971997140132508,0
41,6,5,69.01588497335614,0,11,185,0.24978450059773818,0.935767334674048,0.4603876114311876,0.07477681439553308,1
60,12,0,86.68800722519399,0,38,259,0.33303033377725505,0.64069708738867,0.2901652103646438,0.29551157159248176,0
54,12,2,56.41901531465884,1,28,327,0.4477149130568556,0.761778765070503,0.40583378172370005,0.50427098261361,1
47,8,0,68.90191984815993,0,11,335,0.3517775794754533,0.920353899698356,0.6562132644202584,0.9422119525993365,0
57,12,0,51.6133675351484,1,12,111,0.5437727957307589,0.6439716418152677,0.5305058356680058,0.6301492197756822,1
50,9,6,55.1698577423441,1,7,220,0.35529469448216994,0.7992630638955525,0.41652646240749147,0.40585076166979306,1
57,13,4,61.7970493624077,0,95,406,0.19931163908423438,0.4994518116238332,0.4839530261180154,0.6925532972477138,1
54,18,3,94.45323846275613,0,8,170,0.276044120798868,0.875966176372787,0.4872755449896458,0.15306368804026993,1
60,13,1,70.50055678884533,0,67,956,0.30665598225131513,0.5351634217576996,0.39757546887224854,0.6528299196801656,1
